Date,Ozone AQI Value,Site Name,Site ID,Source
08/25/2015,108,Colliers Mills,34-029-0006,AQS
08/26/2015,61,Riverhead,36-103-0004,AQS
08/27/2015,45,Riverhead,36-103-0004,AQS
08/28/2015,46,Babylon,36-103-0002,AQS
08/29/2015,105,Bayonne,34-017-0006,AQS
08/30/2015,108,Leonia,34-003-0006,AQS
08/31/2015,112,Riverhead,36-103-0004,AQS
09/01/2015,136,Rutgers University,34-023-0011,AQS
09/02/2015,115,Rutgers University,34-023-0011,AQS
09/03/2015,161,Colliers Mills,34-029-0006,AQS
09/04/2015,51,Chester,34-027-3001,AQS
09/05/2015,49,Flemington,34-019-0001,AQS
09/06/2015,90,Rockland County,36-087-0005,AQS
09/07/2015,101,Ramapo,34-031-5001,AQS
09/08/2015,119,Leonia,34-003-0006,AQS
09/09/2015,50,Mt Ninham,36-079-0005,AQS
09/10/2015,31,Monmouth University,34-025-0005,AQS
09/11/2015,39,Bayonne,34-017-0006,AQS
